time_iso8601,forks_cumulative
2024-02-26 00:00:00+00:00,1
2024-03-13 00:00:00+00:00,2
2024-04-24 00:00:00+00:00,3
2024-04-26 00:00:00+00:00,4
2024-04-29 00:00:00+00:00,5
2024-05-02 00:00:00+00:00,6
2024-05-15 00:00:00+00:00,7
2024-05-17 00:00:00+00:00,8
2024-05-25 00:00:00+00:00,9
2024-05-28 00:00:00+00:00,10
2024-07-18 00:00:00+00:00,11
2024-08-21 00:00:00+00:00,12
2024-09-03 00:00:00+00:00,13
2024-09-08 00:00:00+00:00,14
2024-09-20 00:00:00+00:00,15
2024-10-16 00:00:00+00:00,16
2024-11-15 00:00:00+00:00,17
2024-11-27 00:00:00+00:00,18
