time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-14 00:00:00+00:00,26,19,96,60
2025-11-15 00:00:00+00:00,16,13,52,27
2025-11-16 00:00:00+00:00,18,17,85,52
2025-11-17 00:00:00+00:00,14,13,93,64
2025-11-18 00:00:00+00:00,16,16,119,51
2025-11-19 00:00:00+00:00,50,28,96,56
2025-11-20 00:00:00+00:00,25,22,75,50
2025-11-21 00:00:00+00:00,18,16,100,58
2025-11-22 00:00:00+00:00,23,14,75,41
2025-11-23 00:00:00+00:00,10,10,70,44
2025-11-24 00:00:00+00:00,24,23,87,63
2025-11-25 00:00:00+00:00,46,36,154,66
2025-11-26 00:00:00+00:00,20,17,95,61
2025-11-27 00:00:00+00:00,11,10,75,51
